long,lat,bio10_1,bio10_10,bio10_11,bio10_12,bio10_13,bio10_14,bio10_15,bio10_16,bio10_17,bio10_18,bio10_19,bio10_2,bio10_3,bio10_4,bio10_5,bio10_6,bio10_7,bio10_8,bio10_9,nlcd_11,nlcd_12,nlcd_21,nlcd_22,nlcd_23,nlcd_24,nlcd_31,nlcd_41,nlcd_42,nlcd_43,nlcd_52,nlcd_71,nlcd_81,nlcd_82,nlcd_90,nlcd_95,rd_len
2047035.591,2989380.134,40.28551491,171.1646965,-103.3999946,977.7887089,106.0847138,53.99082667,19.53040336,310.4170796,172.7703287,310.1995936,174.5059605,77.97815413,204.9595986,10113.32402,220.6508182,-159.9252846,380.5516047,170.9329688,-85.52964134,0.031435866,0,0.012906882,0.007627638,0.00295219,0.000607926,0.007088561,0.223104468,0.116245238,0.41181055,0.048105965,0.014559226,0.010558486,0.053592439,0.055628266,0.003776297,131120.4505
2097035.591,2989380.134,44.93342457,175.593123,-97.53044325,982.6372336,107.3115385,57.22174808,18.24004664,311.9220498,181.9422403,310.8789955,184.5889379,77.45677348,204.921645,10040.05885,224.48946,-153.5631498,378.0271275,174.9072489,-69.82441363,0.051554795,0,0.020108508,0.010952879,0.004833892,0.002198731,0.002726121,0.154808217,0.149088022,0.232083279,0.063243869,0.015769296,0.034400482,0.115372207,0.136200331,0.006659373,0
1997035.591,2939380.134,40.5836718,172.0356077,-103.6911677,1008.268182,108.502934,56.41389048,18.73111384,318.4651596,180.5557487,318.1319978,180.5860368,78,204.6524107,10175.94585,221.7786264,-160.1767385,381.9574129,171.7563674,-102.9738654,0.01132187,0,0.000308972,6.76E-05,1.53E-05,0,0.008222441,0.170296149,0.340967876,0.273068564,0.117209904,0.010927331,0,0,0.06759404,0,0
2047035.591,2939380.134,41.09334403,171.341121,-100.8575841,979.3931669,105.0899517,53.43299155,19.10347927,307.5969679,172.9144307,307.5443401,173.4567047,78,206.8783256,10029.76451,220.9312001,-156.833561,377.7756751,171.2079676,-92.28360325,0.020238786,0,0.00071071,9.15E-05,1.12E-05,1.44E-06,0.008899949,0.180976596,0.207583585,0.414335782,0.088488591,0.018318388,0.000168735,0.000209202,0.05996554,0,5024.201283
2097035.591,2939380.134,48.75211269,178.7315641,-92.03512926,963.6670344,101.3702858,53.83354262,18.11509863,302.6099565,174.7247653,302.6099565,175.8872486,78,207.3799316,9955.586138,228.0787935,-147.7212483,375.7841085,178.7315641,-73.67031096,0.018542341,0,0.012844018,0.007911163,0.002601723,0.001133009,0.003894988,0.108532942,0.212333078,0.317291545,0.070772146,0.010222398,0.017975113,0.090168222,0.125777316,0,251966.8193
1997035.591,2889380.134,42.06132245,173.0056598,-100.6381024,1033.99567,112.1615524,57.35342821,18.667161,327.9232581,184.2850179,324.644422,184.2850179,78,205.766798,10102.97424,222.4898405,-156.572292,379.0729311,172.2108741,-100.6381024,0.025920637,0,0.001054733,0.000351208,2.48E-05,2.59E-06,0.005466276,0.166902964,0.299731347,0.255034016,0.118636249,0.012592843,0,0,0.114282378,0,0
2047035.591,2889380.134,46.04222564,176.1972247,-94.79439676,972.9819814,103.0009843,55.0343082,17.64004557,299.9981608,175.1459469,298.3342073,175.297824,78.4535997,208.5183162,9988.941506,226.0550332,-150.5132102,376.5543192,175.1840245,-92.26122801,0.072680933,0,0.001361681,8.37E-05,6.55E-06,0,0.003961352,0.10632023,0.290450888,0.34257128,0.084491867,0.006377671,0,0,0.091693895,0,0
2097035.591,2889380.134,50.54111472,179.6996095,-88.33150983,1052.271955,103.3192817,64.71536485,13.15814967,303.3759827,207.5740272,301.5314098,208.1848486,78.69960289,210.8229679,9853.376558,229.5590523,-143.8112937,373.3598566,171.8726854,-78.5611073,0.02830337,0,0.00555657,0.001546349,0.000225667,3.33E-05,0.00404101,0.123087078,0.201592643,0.368502365,0.092935985,0.012894213,0.002501181,0.005481951,0.1532983,0,138225.8685
2147035.591,2889380.134,55.25525917,183.7838902,-82.19019045,1055.507893,101.4093624,65.11194015,11.514288,297.2129913,217.4483747,285.3624213,218.3786379,79.24642414,213.2622754,9750.820528,233.863656,-137.7091725,371.554069,49.9395428,-67.13832716,0.022083073,0,0.022294326,0.007768239,0.002272816,0.000744768,0.001727408,0.137392951,0.129960565,0.333588575,0.061998095,0.008927019,0.016691293,0.08176984,0.172781031,0,207457.1295
47035.59079,2839380.134,40.36062653,191.4403663,-131.3207161,591.1424544,95.7845922,13.73813137,60.65150685,282.1651131,45.55804832,263.146836,54.30647948,90.52018006,206.6823809,11878.66955,252.2056536,-185.6129357,437.8083952,190.4371282,-120.3586128,0.002586982,0,0.019985031,0.001699091,0.00013903,2.06E-06,0.000760241,0.045775073,0.021864788,1.13E-05,0.017965269,0.019338542,0.056211535,0.127319063,0.686341968,0,0
97035.59079,2839380.134,40.83871299,190.9169191,-129.777826,619.1681661,103.2957393,13.23726992,59.13263515,286.1242947,44.97780149,266.6918575,58.11553383,91,208.2072143,11792.63541,251.8849249,-184.435989,436.3605406,189.8766365,-118.6969117,0.005291619,0,0.017697544,0.002906625,0.000725007,0.000169846,0.000251746,0.032488461,0.008791331,5.83E-05,0.00429013,0.026571874,0.046728616,0.05381214,0.800216748,0,104826.6224
