region,Plot,wplot,canopy,lon,lat
CT,BMC,1,closed,1936591.2081992598,2331999.5469661085
CT,BMD,2,open,1936605.6169912983,2332028.85339153
CT,JC,3,closed,1936078.7126118385,2332713.652106589
CT,JD,4,closed,1936059.086019447,2332639.025442987
CT,PSA,5,closed,1939959.592131177,2334780.9093289226
CT,PSB,6,open,1939950.7837313858,2334789.398665841
CT,SMFC,7,closed,1934002.574714066,2332266.312444709
ME,AFA,8,open,2117481.1574618435,2944070.059894043
ME,AFB,9,closed,2117515.7118374757,2944084.4709704886
ME,LYA,10,open,2126368.928706639,2742775.0319174556
ME,LYB,11,open,2126406.218289805,2742760.1813981845
VT,HORTC,12,open,1793121.1108281382,2598642.7853170484
VT,HORTD,13,closed,1793195.8655390022,2598528.014872513
VT,JERC,14,open,1808115.2203848045,2603345.493862588
VT,JERD,15,closed,1808004.661941759,2603279.1880726567
WCT,HILL,16,open,1845676.4334433246,2329334.5913606025
WCT,PGA,17,closed,1846507.4857501483,2327956.098163166
WCT,PGB,18,closed,1846566.8975295485,2327975.826888226
WCT,RED,19,open,1842421.491837294,2322790.7754892865
WCT,RT7A,20,closed,1847486.4258846517,2331344.5744766123
WCT,RT7B,21,closed,1847473.9107768377,2331332.666724912
