"ObjectID","ScientificName","infestedAreaInAcres","grossAreaInAcres","invasivecover","count","AbundanceText","PercentPlotCovered","density","ReporterFULLName","ReporterOrg","Latitude_Decimal","Longitude_Decimal","validInfestedArea","Longitude_sign_change","USDAcode","USDAcodeUNMERGED","countN","countC","countQUANT","coverN","coverC","coverP","cover","dPERC","dPLANTS","dTLMH","Dcount","countFromDensity","Dcover","coverFromDensity","countORD","unreasonably_large_area","coverORD","textORD","areaORD","ord"
54383,"Alliaria petiolata",0.00057392,0.00057392,"Trace     ",NA,"Scattered Plants              ","NULL",NA,"Chris Evans","University of Illinois",37.7819343,-82.339343,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Trace     ",NA,"trace",NA,NA,NA,NA,0,NA,0,NA,0,1,1,1,1
54384,"Alliaria petiolata",11,17,"High      ",NA,"Dense Monoculture             ","NULL",NA,"Chris Evans","University of Illinois",33.978343,-84.577464,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,3,3,3
91938,"Alliaria petiolata",6.1,62,"High      ",NA,"Scattered Dense Patches       ","NULL",NA,"Alex Entrup","SCA SE Coast EPMT",34.023,-84.615,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,2,3,3
92608,"Alliaria petiolata",0.00114784,20,"High      ",NA,"Scattered Dense Patches       ","NULL",NA,"Zeb Weese","Kentucky Heritage Land Conservation Fund",37.769391721311,-84.635066986084,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,2,1,2
92615,"Alliaria petiolata",NA,NA,"High      ",NA,"Scattered Plants              ","NULL",NA,"Zeb Weese","Kentucky Heritage Land Conservation Fund",37.7774227497785,-83.6803615093231,0,0,"ALPE4","ALPE4",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,1,NA,2
92642,"Alliaria petiolata",35,65,"Moderate  ",NA,"Scattered Dense Patches       ","NULL",NA,"Byron                                              Brooks                                            ","KSNPC                                                                                                                                                                                                                                                     ",38.232129,-84.907008,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,2,3,2
92667,"Alliaria petiolata",0.00247105,5,"Low       ",NA,"Scattered Plants              ","NULL",NA,"Troy Evans","Great Smoky Mountains National Park",38.9972409598824,-84.8171997070313,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Low       ",NA,"low",NA,NA,NA,NA,0,NA,0,NA,0,1,1,1,1
93946,"Alliaria petiolata",2,10,"Moderate  ",NA,"Scattered Plants              ","NULL",NA,"Chris Evans","University of Illinois",38.368175102595,-83.1084823608398,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,1,3,2
94009,"Alliaria petiolata",1,5,"Low       ",NA,"Scattered Plants              ","NULL",NA,"Chris Evans","University of Illinois",37.848477770615,-82.420346887956,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Low       ",NA,"low",NA,NA,NA,NA,0,NA,0,NA,0,1,1,3,1
94030,"Alliaria petiolata",50,70,"Moderate  ",NA,"Scattered Dense Patches       ","NULL",NA,"Zeb Weese","Kentucky Heritage Land Conservation Fund",38.9927715452936,-84.7811508178711,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"Moderate  ",NA,"medium",NA,NA,NA,NA,0,NA,0,NA,0,2,2,3,2
94033,"Alliaria petiolata",0.000459136,5,"High      ",NA,"Scattered Dense Patches       ","NULL",NA,"Zeb Weese","Kentucky Heritage Land Conservation Fund",37.7816372065855,-84.6447658538818,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,2,1,2
94053,"Alliaria petiolata",5,100,"High      ",NA,"Scattered Dense Patches       ","NULL",NA,"Zeb Weese","Kentucky Heritage Land Conservation Fund",38.2198408587715,-84.847412109375,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,2,3,3
97593,"Alliaria petiolata",0.0229568,1,"High      ",NA,"Scattered Dense Patches       ","NULL",NA,"Julie Judkins","Appalachian Trail Conservancy",35.5964606930391,-82.5678563117981,1,0,"ALPE4","ALPE4",NA,NA,NA,NA,"High      ",NA,"high",NA,NA,NA,NA,0,NA,0,NA,0,3,2,2,2
