left,top,CellID,nlcd1_mean,nlcd2_mean,nlcd3_mean,nlcd4_mean,nlcd5_mean,nhlc1_mean,nhlc2_mean,nhlc3_mean,nhlc4_mean,nhlc5_mean,nhlc6_mean,pWP_mean,bio1_mean,bio7_mean,bio12_mean,el_mean,rugg_mean,rdLen,pop_sum,hms_sum
,,,,,,,,,,,,,,,,,,,,,,
705000,4575000,943,0.26467,0.4562,0.20016,0.06722,0.01175,,,,,,,14.23554,114.68592,294.92827,1161.58824,7.75162,0.91293,117349.0939,9836,649
,,,,,,,,,,,,,,,,,,,,,,
705000,4580000,942,0.05619,0.12607,0.73398,0.07602,0.00774,,,,,,,6.22296,111.78552,297.00618,1199,49.89345,2.02712,75621.95942,7080,14
,,,,,,,,,,,,,,,,,,,,,,
705000,4585000,941,0.02976,0.11395,0.7574,0.08763,0.01126,,,,,,,7.20008,108.62685,299.13171,1221.30556,103.78935,1.95775,54494.00367,2815,14
,,,,,,,,,,,,,,,,,,,,,,
705000,4590000,940,0.02835,0.11756,0.73314,0.11338,0.00758,,,,,,,7.53634,107.78783,301.76524,1149.97222,116.3068,2.68215,58450.49845,2018,35
,,,,,,,,,,,,,,,,,,,,,,
705000,4595000,939,0.0441,0.13389,0.69802,0.10076,0.02323,,,,,,,9.71806,108.86151,305.1243,1117.69048,85.81319,3.32214,71209.79647,2165,20
,,,,,,,,,,,,,,,,,,,,,,
705000,4600000,938,0.04977,0.23364,0.6248,0.06243,0.02937,,,,,,,12.63,110.7828,308.68004,1123.47222,60.73105,3.12401,64189.56263,2098,80
,,,,,,,,,,,,,,,,,,,,,,
705000,4605000,937,0.03492,0.09746,0.75736,0.10427,0.00599,,,,,,,5.93743,106.72983,310.50751,1298.61111,119.09451,2.7462,57650.56234,6073,6
,,,,,,,,,,,,,,,,,,,,,,
705000,4610000,936,0.10911,0.21869,0.60712,0.06174,0.00333,,,,,,,11.36165,104.01316,312.62723,1263.05556,173.09606,2.04529,104513.3969,7149,138
,,,,,,,,,,,,,,,,,,,,,,
705000,4615000,935,0.03618,0.09043,0.7384,0.12171,0.01327,,,,,,,8.06734,102.97903,315.34225,1280.09524,177.56346,2.50589,54809.32831,2738,7
,,,,,,,,,,,,,,,,,,,,,,
705000,4620000,934,0.05486,0.10603,0.68045,0.10746,0.0512,,,,,,,13.45107,102.99669,318.24989,1402.38889,174.67255,2.89475,56738.15606,4627,4
,,,,,,,,,,,,,,,,,,,,,,
705000,4625000,933,0.07397,0.14196,0.6153,0.11553,0.05325,,,,,,,14.22415,103.63981,320.94058,1419.80556,153.0339,2.41838,58827.73629,5232,6
,,,,,,,,,,,,,,,,,,,,,,
705000,4630000,932,0.44412,0.26043,0.22213,0.04669,0.02664,,,,,,,29.55215,105.92361,324.05626,1370.11111,104.25257,1.89814,211481.2752,30684,44
,,,,,,,,,,,,,,,,,,,,,,
705000,4635000,931,0.42154,0.33605,0.17629,0.06035,0.00577,,,,,,,25.7077,107.06292,327.05599,1291.47619,83.36033,1.58851,165725.2624,18734,41
,,,,,,,,,,,,,,,,,,,,,,
705000,4640000,930,0.30783,0.41095,0.19251,0.08283,0.00588,,,,,,,23.61239,106.76475,329.53399,1241.61111,84.32909,1.10025,117078.1593,15440,14
,,,,,,,,,,,,,,,,,,,,,,
705000,4645000,929,0.07218,0.67407,0.16878,0.07741,0.00757,,,,,,,22.5282,107.38975,331.977,1245.19444,69.57814,1.08289,61887.85234,4176,4
,,,,,,,,,,,,,,,,,,,,,,
705000,4650000,928,0.04285,0.49073,0.39446,0.05748,0.01449,,,,,,,18.94546,106.55747,333.92178,1274.38889,79.48161,1.18668,51073.71347,3744,5
,,,,,,,,,,,,,,,,,,,,,,
705000,4655000,927,0.1952,0.45857,0.17727,0.14038,0.02858,,,,,,,24.74054,106.94742,335.98008,1198.5,63.84732,0.92297,88564.19708,9913,8
,,,,,,,,,,,,,,,,,,,,,,
705000,4660000,926,0.18328,0.34287,0.27437,0.17037,0.02911,,,,,,,25.80071,105.65119,337.70482,1213.2619,79.257,0.99527,92753.79835,11971,14
,,,,,,,,,,,,,,,,,,,,,,
890000,4620000,2752,0.10782,0.70185,0.14566,0.01565,0.02902,,,,,,,20.02236,100.80857,226.35736,1121.2,0.51461,0.18646,23625.09516,525,474
,,,,,,,,,,,,,,,,,,,,,,
705000,4665000,925,0.33382,0.31396,0.10205,0.19241,0.05776,,,,,,,35.36642,105.50814,339.57875,1218.22222,73.04412,0.91342,163136.0287,22125,20
,,,,,,,,,,,,,,,,,,,,,,
890000,4625000,2751,0.48412,0.40726,0.02336,0.03671,0.04856,,,,,,,12.847,100.17011,227.5743,1119.25,9.54713,0.94428,224498.0285,16884,1561
,,,,,,,,,,,,,,,,,,,,,,
